Date,Business Group,Business,Value Center,    Processed History
20-Jun,00009771,00009807,00012831,256284
20-Jun,00009771,00009807,00017530,22850
20-Jun,00013066,00025519,00026803,18040
20-Jun,00013066,00025618,00026812,169382
20-Jun,00013066,00025618,00026813,1800
20-Jun,00021696,00007918,00007119,86258
20-Jun,00021696,00013071,00007960,18869
20-Jun,00021696,00013071,00013349,245000
20-Jun,00024782,00026748,00007947,4209
20-Jun,00024782,00026749,00013147,29221
20-Jul,00009771,00009807,00012831,320034
20-Jul,00009771,00009807,00017530,26368
20-Jul,00009771,00016982,00017334,19994
20-Jul,00013066,00025519,00026803,40998
20-Jul,00013066,00025618,00026812,201317
20-Jul,00013066,00025618,00026813,2418
20-Jul,00021696,00007918,00007119,105041
20-Jul,00021696,00013071,00007960,112878
20-Jul,00021696,00013071,00013349,267737
20-Jul,00021696,00027295,00026846,25
20-Jul,00024782,00026748,00007947,62289
20-Jul,00024782,00026749,00013147,19822
20-Aug,00009771,00009807,00012831,293874
20-Aug,00009771,00009807,00017530,23202
20-Aug,00009771,00009807,00017534,4849
20-Aug,00009771,00009808,00006340,20412
20-Aug,00013066,00025519,00026803,35986
20-Aug,00013066,00025618,00026812,194151
20-Aug,00013066,00025618,00026813,1805
20-Aug,00021696,00007918,00007119,86234
20-Aug,00021696,00013071,00007960,27869
20-Aug,00021696,00013071,00013349,283595
20-Aug,00024782,00026748,00007947,140554
20-Aug,00024782,00026749,00013147,39481
20-Sep,00009771,00009807,00012831,353217
20-Sep,00013066,00025519,00026803,76709
20-Sep,00013066,00025618,00026812,255949
20-Sep,00013066,00025618,00026813,1694
20-Sep,00021696,00013071,00007960,116583
20-Sep,00021696,00013071,00013349,325346
20-Sep,00021696,00027295,00026846,250
20-Sep,00024782,00026748,00007947,84741
20-Sep,00024782,00026749,00013147,100543
20-Oct,00009771,00009807,00012831,330455
20-Oct,00009771,00009807,00017530,15785
20-Oct,00013066,00025519,00026803,17750
20-Oct,00013066,00025618,00026812,283373
20-Oct,00013066,00025618,00026813,2400
20-Oct,00021696,00007918,00007119,86231
20-Oct,00021696,00013071,00007960,38329
20-Oct,00021696,00013071,00013349,263000
20-Oct,00024782,00026748,00007947,1129154
20-Nov,00009771,00009807,00012831,324646
20-Nov,00009771,00009807,00017530,17100
20-Nov,00009771,00009807,00017534,3922
20-Nov,00013066,00025519,00026803,36498
20-Nov,00013066,00025618,00026812,213836
20-Nov,00013066,00025618,00026813,1290
20-Nov,00021696,00007918,00007119,84104
20-Nov,00021696,00013071,00007960,65620
20-Nov,00021696,00013071,00013349,270017
20-Nov,00024782,00026748,00007947,3359821
20-Dec,00009771,00009807,00012831,318626
20-Dec,00009771,00009807,00017530,15785
20-Dec,00009771,00016982,00017334,9752
20-Dec,00013066,00025519,00026803,36939
20-Dec,00013066,00025618,00026812,150368
20-Dec,00013066,00025618,00026813,78
20-Dec,00021696,00013071,00007960,18507
20-Dec,00021696,00013071,00013349,162000
20-Dec,00024782,00026748,00007947,4538162
20-Dec,00024782,00026749,00013147,164472
21-Jan,00009771,00009807,00012831,273649
21-Jan,00009771,00009807,00017529,2948
21-Jan,00009771,00009807,00017530,15785
21-Jan,00009771,00016982,00017334,9752
21-Jan,00013066,00025519,00026803,21313
21-Jan,00013066,00025618,00026812,215450
21-Jan,00013066,00025618,00026813,600
21-Jan,00021696,00007918,00007119,105053
21-Jan,00021696,00013071,00007960,65608
21-Jan,00021696,00013071,00013349,219000
21-Jan,00024782,00026748,00007947,5514498
21-Feb,00009771,00009807,00012831,232177
21-Feb,00009771,00009807,00017530,15966
21-Feb,00009771,00009807,00017534,2631
21-Feb,00009771,00009808,00006340,20421
21-Feb,00013066,00025519,00026803,54500
21-Feb,00013066,00025618,00026812,159275
21-Feb,00013066,00025618,00026813,1740
21-Feb,00021696,00007918,00007119,191296
21-Feb,00021696,00013071,00007960,18869
21-Feb,00021696,00013071,00013349,188000
21-Feb,00024782,00026748,00007947,5195725
21-Mar,00009771,00009807,00012831,459227
21-Mar,00009771,00009807,00017529,2948
21-Mar,00009771,00009807,00017530,15014
21-Mar,00009771,00016982,00017334,5204
21-Mar,00013066,00025519,00026803,54313
21-Mar,00013066,00025618,00026812,227642
21-Mar,00013066,00025618,00026813,3627
21-Mar,00021696,00007918,00007119,102982
21-Mar,00021696,00013071,00007960,23069
21-Mar,00021696,00013071,00013349,296924
21-Mar,00021696,00027295,00026846,2600
21-Mar,00024782,00026748,00007947,1462913
21-Mar,00024782,00026749,00013147,19995
21-Apr,00009771,00009807,00012831,270421
21-Apr,00009771,00009807,00017530,14832
21-Apr,00009771,00009807,00017534,3946
21-Apr,00009771,00016982,00017334,5000
21-Apr,00013066,00025519,00026803,36109
21-Apr,00013066,00025618,00026812,169786
21-Apr,00013066,00025618,00026813,3000
21-Apr,00021696,00007918,00007119,122522
21-Apr,00021696,00013071,00007960,40760
21-Apr,00021696,00013071,00013349,230000
21-Apr,00024782,00026748,00007947,198608
21-May,00009771,00009807,00012831,215085
21-May,00009771,00009807,00017530,14832
21-May,00013066,00025519,00026803,35987
21-May,00013066,00025618,00026812,183276
21-May,00013066,00025618,00026813,1200
21-May,00021696,00007918,00007119,218654
21-May,00021696,00013071,00007960,4200
21-May,00021696,00013071,00013349,199000
21-May,00024782,00026748,00007947,121520
21-May,00024782,00026749,00013147,26073
21-Jun,00009771,00009807,00012831,281714
21-Jun,00009771,00009807,00017530,15966
21-Jun,00009771,00009807,00017534,5262
21-Jun,00013066,00025519,00026803,72591
21-Jun,00013066,00025618,00026812,172186
21-Jun,00013066,00025618,00026813,654
21-Jun,00021696,00007918,00007119,247855
21-Jun,00021696,00013071,00007960,60808
21-Jun,00021696,00013071,00013349,197000
21-Jun,00024782,00026748,00007947,78437
21-Jun,00024782,00026749,00013147,40005
21-Jul,00009771,00009807,00012831,215522
21-Jul,00009771,00009807,00017529,5897
