Value_Center_Code,Global_Industry_Code,Ship_To_Region_Code,Date,Processed History,X_256,X_378,Predicted Values
7336,18735,23,20-May,162812.3,96.81476474,118529,
7336,18735,23,20-Jun,184321.6,96.70824884,129440,
7336,18735,23,20-Jul,305258.3,96.60173293,140351,
7336,18735,23,20-Aug,246618,96.65518597,341452.3333,
7336,18735,23,20-Sep,263156,96.70863901,542553.6667,
7336,18735,23,20-Oct,161533.2,96.76209204,743655,
7336,18735,23,20-Nov,140268.8,96.87875232,519955.6667,
7336,18735,23,20-Dec,160108.9,96.9954126,296256.3333,
7336,18735,23,21-Jan,342734.1,97.11207288,72557,
7336,18735,23,21-Feb,261042.2,97.33641956,66145.66667,
7336,18735,23,21-Mar,141611.4,97.56076625,59734.33333,
7336,18735,23,21-Apr,230851.1,97.78511294,53323,
7336,18735,23,21-May,218948.9,98.1335331,137023,
7336,18735,23,21-Jun,260171.3,98.48195326,220723,220938.3
7336,18735,23,21-Jul,168527.6,98.83037342,304423,347708.9
7336,18735,23,21-Aug,139062.2,99.19830199,351152.3333,143574.2
7336,18735,23,21-Sep,140649.8,99.56623056,397881.6667,219147.2
7336,18735,23,21-Oct,120074.9,99.93415912,444611,55452.05
7336,18735,23,21-Nov,98356.9,100.0192158,424768.6667,111253.9
7336,18735,23,21-Dec,59475,100.1042724,404926.3333,98007.5
7336,18735,23,22-Jan,139697.3,100.1893291,385084,263508.7
7336,18735,23,22-Feb,183487,100.5088768,331617.3333,123128.5
7336,18735,23,22-Mar,200179.2,100.8284245,278150.6667,99811.81
7336,18735,23,22-Apr,282161.4,101.1479723,224684,233739
7336,18735,23,22-May,339341.3,101.2459045,327597,191471.2
7336,18735,23,22-Jun,185941,101.3438367,430510,276509.8
7336,18735,23,22-Jul,60944.6,101.4417689,533423,103217.1
7336,18735,23,22-Aug,201875.7,101.3929979,423903,91640.99
7336,18735,23,22-Sep,201712.6,101.3442268,314383,202771.4
7336,18735,23,22-Oct,201376.9,101.2954558,204863,126747.4
7336,18735,23,22-Nov,180167.2,101.5623308,264016.6667,140482
7336,18735,23,22-Dec,79424.2,101.8292058,323170.3333,100357.2
7336,18735,23,23-Jan,140695.2,102.0960809,382324,168055.7
7336,18735,23,23-Feb,180321,101.9591318,482940,150539.6
7336,18735,23,23-Mar,120374.2,101.8221828,583556,142327.5
7336,18735,23,23-Apr,239850.8,101.6852338,684172,185419.3
7336,18735,23,23-May,160916.3,102.3382412,849485.3333,222067.1
7336,18735,23,23-Jun,79460.2,102.9912486,1014798.667,9372.856
7336,18735,23,23-Jul,79714.3,103.644256,1180112,0
7336,18735,23,23-Aug,141103.4,103.4531944,862219.6667,156404.5
7336,18735,23,23-Sep,119902.5,103.2621328,544327.3333,170450.3
7336,18735,23,23-Oct,99690.5,103.0710712,226435,174114.7
7336,18735,23,23-Nov,141956.2,103.503194,224570.3333,116957
7336,18735,23,23-Dec,125105,103.9353167,222705.6667,91072.88
7336,18735,23,24-Jan,179395.9,104.3674395,220841,191553.3
7336,18735,23,24-Feb,181454.9,104.3591375,218751,177363.5
7336,18735,23,24-Mar,200478.6,104.3508356,216661,96609.13
7336,18735,23,24-Apr,181572.9,104.3425336,214571,204135.7
